,City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
462,kasongo-lunda,0,NZ,1561519248,77,171.19,-44.53,282.59,1.74
463,kasongo-lunda,40,US,1561519215,25,-147.8,64.86,297.15,2.6
464,kasongo-lunda,0,BR,1561519252,59,-56.44,-14.4,293.915,2.31
465,kasongo-lunda,0,CL,1561519253,81,-71.34,-29.95,282.15,2.6
466,kasongo-lunda,40,PR,1561519255,78,-66.12,18.47,301.15,2.6
467,kasongo-lunda,75,EC,1561518982,81,-79.22,-0.93,284.15,2.1
468,kasongo-lunda,75,AU,1561519260,67,151.26,-27.18,292.04,7.7
469,kasongo-lunda,1,US,1561519060,43,-100.78,46.81,295.15,3.1
470,kasongo-lunda,3,RU,1561519265,74,48.47,56.76,284.115,3.31
471,kasongo-lunda,40,ID,1561519048,74,109.34,-0.02,303.15,2.6
472,kasongo-lunda,75,SL,1561519267,91,-12.5,7.53,298.415,3.69
473,kasongo-lunda,75,NO,1561519061,81,27.85,71.03,282.15,7.7
474,kasongo-lunda,0,CR,1561519270,83,-84.16,9.43,294.26,2.6
475,kasongo-lunda,90,GB,1561519273,87,-2.49,53.52,287.59,3.6
476,kasongo-lunda,0,NZ,1561519198,72,176.84,-39.64,284.415,1.96
477,kasongo-lunda,60,VE,1561519275,96,-68.2,10.49,295.915,0.56
478,kasongo-lunda,1,US,1561519276,42,-99.4,35.41,300.15,7.7
479,kasongo-lunda,2,BR,1561519279,94,-42.76,-18.55,288.415,1.06
480,kasongo-lunda,100,NI,1561519280,79,-83.04,12.17,300.515,3.37
481,kasongo-lunda,100,BR,1561519281,93,-53.78,-27.85,282.615,3.86
482,kasongo-lunda,100,SO,1561519282,69,49.82,7.98,298.515,12.83
483,kasongo-lunda,96,NO,1561519286,88,12.69,67.67,282.015,7.06
484,kasongo-lunda,4,IN,1561519287,41,81.38,24.05,308.115,6.09
485,kasongo-lunda,100,CN,1561519289,67,103.16,23.36,296.215,3.11
486,kasongo-lunda,1,US,1561519150,26,-106.31,42.87,295.93,8.7
487,kasongo-lunda,0,DE,1561519291,82,11.32,49.36,294.26,3.1
488,kasongo-lunda,66,RU,1561519294,69,50.0,57.11,284.215,3.1
489,kasongo-lunda,1,ZA,1561519296,93,23.49,-33.3,278.615,1.96
490,kasongo-lunda,75,RU,1561519088,60,88.39,69.49,278.15,4.0
491,kasongo-lunda,45,RU,1561519298,35,131.98,60.89,293.615,2.85
492,kasongo-lunda,0,BR,1561519299,83,-37.77,-4.56,296.715,2.54
493,kasongo-lunda,66,GN,1561519300,94,-9.3,10.38,295.515,2.74
494,kasongo-lunda,100,PH,1561519302,71,123.58,13.72,303.515,3.91
495,kasongo-lunda,90,GB,1561519303,100,-2.59,51.45,289.82,5.1
496,kasongo-lunda,75,AU,1561519305,82,153.24,-28.95,291.15,4.1
497,kasongo-lunda,0,KZ,1561519306,54,51.16,43.65,301.15,6.0
498,kasongo-lunda,1,KE,1561519206,97,40.44,-2.39,297.15,2.08
499,kasongo-lunda,69,RU,1561519309,41,90.2,51.01,283.315,2.41
500,kasongo-lunda,0,SO,1561519310,84,43.89,4.12,294.115,5.83
501,kasongo-lunda,74,NA,1561519269,96,14.28,-22.12,283.15,2.68
502,kasongo-lunda,0,TZ,1561519313,95,33.0,-9.01,283.815,1.5
503,kasongo-lunda,53,PE,1561519315,85,-77.76,-10.75,290.215,6.96
504,kasongo-lunda,40,BR,1561519317,47,-49.45,-20.92,297.15,1.0
505,kasongo-lunda,0,BR,1561519323,84,-41.99,-11.3,290.615,4.37
506,kasongo-lunda,93,SE,1561519325,77,14.16,57.78,290.15,1.0
507,kasongo-lunda,99,SD,1561519326,54,24.66,14.2,297.115,0.63
508,kasongo-lunda,50,PG,1561519328,68,143.63,-3.55,302.415,2.69
509,kasongo-lunda,66,RU,1561519332,80,40.02,53.92,287.59,1.3
510,kasongo-lunda,0,RU,1561519333,46,77.78,64.92,284.815,2.19
511,kasongo-lunda,87,PG,1561519334,82,142.82,-4.22,302.115,1.35
